epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,520.188,4.43091,3.1587,4.10487,0,0,0,0,4.29864,3.62704,4.13262,0.000647059,0.000647059,0.000647059
2,1017.34,3.46397,2.34199,3.40595,0,0,0,0,4.31357,4.43103,4.26313,0.0013019,0.0013019,0.0013019
3,1513.25,3.1053,2.06888,2.73094,0.20075,0.07906,0.1169,0.03889,3.26903,6.32011,3.88297,0.00194475,0.00194475,0.00194475
4,2006.51,2.89097,1.8872,2.4257,0.15436,0.35425,0.10996,0.03842,2.88823,23.9222,3.09614,0.001946,0.001946,0.001946
5,2504.21,2.79655,1.86593,2.30114,0.36351,0.36143,0.31354,0.10099,2.70427,9.716,2.82079,0.001928,0.001928,0.001928
6,2994.55,2.80475,1.80954,2.24333,0.34579,0.31253,0.30047,0.10758,2.58534,7.98503,2.57833,0.00191,0.00191,0.00191
7,3488.18,2.62926,1.75568,2.13293,0.65947,0.23736,0.43641,0.16988,2.55774,3.21516,2.44794,0.001892,0.001892,0.001892
8,3980.23,2.61838,1.72981,2.09871,0.74915,0.1222,0.42898,0.18928,2.5932,3.0992,2.45967,0.001874,0.001874,0.001874
9,4470,2.55252,1.62287,2.02848,0.78112,0.13942,0.45339,0.19382,2.48468,3.57146,2.38813,0.001856,0.001856,0.001856
10,4952.57,2.50501,1.63746,2.01126,0.87234,0.01518,0.44376,0.23166,2.41672,2.23149,2.34534,0.001838,0.001838,0.001838
11,5446.81,2.44898,1.56578,1.97452,0.91131,0.0761,0.49193,0.2412,2.38295,1.98658,2.32453,0.00182,0.00182,0.00182
12,5937.15,2.44822,1.53621,1.95822,0.72025,0.25551,0.4887,0.22347,2.38654,2.87294,2.33697,0.001802,0.001802,0.001802
13,6444.92,2.39995,1.5261,1.8947,0.83538,0.1259,0.47358,0.223,2.39214,2.15332,2.31795,0.001784,0.001784,0.001784
14,6932.62,2.34383,1.45762,1.8858,0.77259,0.18682,0.47148,0.20735,2.40616,2.06204,2.29935,0.001766,0.001766,0.001766
15,7422.2,2.34217,1.45626,1.88885,0.81826,0.16923,0.4868,0.22596,2.23311,1.82548,2.2067,0.001748,0.001748,0.001748
16,7922.11,2.3759,1.44844,1.90197,0.83977,0.16108,0.49495,0.22133,2.38355,2.0502,2.36672,0.00173,0.00173,0.00173
17,8410.57,2.31768,1.42783,1.86007,0.76012,0.22588,0.47706,0.20972,2.28435,1.89669,2.21729,0.001712,0.001712,0.001712
18,8886.74,2.27405,1.41025,1.84342,0.8723,0.23144,0.54548,0.26619,2.24162,1.70871,2.1727,0.001694,0.001694,0.001694
19,9375.7,2.29342,1.40189,1.85262,0.86759,0.21959,0.53695,0.27551,2.22367,1.8779,2.18078,0.001676,0.001676,0.001676
20,9870.39,2.2496,1.33674,1.78581,0.78276,0.3816,0.57556,0.26786,2.23984,1.84214,2.17894,0.001658,0.001658,0.001658
