epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,260.007,4.77564,3.50369,4.12741,0,0,0,0,4.4135,3.59941,4.12228,0.00064,0.00064,0.00064
2,509.014,4.02984,2.69326,3.54145,0,0,0,0,4.40218,3.91178,4.2145,0.00127426,0.00127426,0.00127426
3,757.34,3.40018,2.21968,2.82549,0.04673,0.00102,0.02815,0.01085,4.11978,3.9387,3.90213,0.00188238,0.00188238,0.00188238
4,1023.28,3.17781,2.02765,2.48917,0.28603,0.24614,0.20291,0.06416,3.2684,4.60015,3.06995,0.0018812,0.0018812,0.0018812
5,1276.11,2.97659,1.88473,2.30686,0.3305,0.3189,0.26794,0.08908,3.02763,4.92233,2.81037,0.0018416,0.0018416,0.0018416
6,1520.58,2.8623,1.85777,2.20901,0.27967,0.26626,0.21157,0.07572,2.87267,9.92717,2.69938,0.001802,0.001802,0.001802
7,1772.8,2.81168,1.76862,2.10876,0.32837,0.34959,0.28067,0.09254,2.90928,4.28924,2.71319,0.0017624,0.0017624,0.0017624
8,2024.61,2.72393,1.73785,2.07606,0.60806,0.27907,0.43661,0.17138,2.61167,2.82884,2.42385,0.0017228,0.0017228,0.0017228
9,2276.84,2.6719,1.64991,2.02722,0.7176,0.21382,0.46336,0.19178,2.67389,3.01116,2.41826,0.0016832,0.0016832,0.0016832
10,2532.57,2.64587,1.60638,1.97782,0.69212,0.29106,0.4858,0.19525,2.5002,2.40747,2.34371,0.0016436,0.0016436,0.0016436
11,2782.8,2.59307,1.60385,1.96689,0.42509,0.24797,0.32442,0.12457,2.76265,2.39677,2.46561,0.001604,0.001604,0.001604
12,3037.63,2.5471,1.56252,1.95706,0.80362,0.12642,0.46425,0.21073,2.59134,2.26616,2.39352,0.0015644,0.0015644,0.0015644
13,3296.63,2.51938,1.49588,1.89538,0.60102,0.40691,0.5078,0.19831,2.47402,2.22144,2.27789,0.0015248,0.0015248,0.0015248
14,3549.65,2.47298,1.48956,1.87948,0.85612,0.16931,0.51015,0.23266,2.42627,2.1627,2.25629,0.0014852,0.0014852,0.0014852
15,3811.28,2.46487,1.47385,1.83673,0.66848,0.39919,0.53345,0.21994,2.4039,2.11814,2.21146,0.0014456,0.0014456,0.0014456
16,4061.4,2.43776,1.44653,1.84186,0.71521,0.3813,0.5466,0.23491,2.38036,2.10659,2.19686,0.001406,0.001406,0.001406
17,4314.69,2.39907,1.43531,1.81821,0.59091,0.49029,0.54624,0.21632,2.35281,2.17324,2.17647,0.0013664,0.0013664,0.0013664
18,4567.43,2.37192,1.41971,1.80841,0.75049,0.38638,0.56891,0.2468,2.36129,2.04293,2.19082,0.0013268,0.0013268,0.0013268
19,4821.51,2.36745,1.41258,1.79325,0.66877,0.47317,0.58158,0.25569,2.30787,2.1469,2.1464,0.0012872,0.0012872,0.0012872
20,5074.25,2.33077,1.39226,1.77143,0.80809,0.32093,0.56185,0.26707,2.31946,2.13279,2.13496,0.0012476,0.0012476,0.0012476
21,5331.56,2.34167,1.39065,1.7846,0.75083,0.3687,0.55755,0.25288,2.32359,2.00134,2.15274,0.001208,0.001208,0.001208
22,5589.69,2.32082,1.34211,1.75043,0.62888,0.50285,0.56921,0.24048,2.31055,1.86376,2.13139,0.0011684,0.0011684,0.0011684
23,5845.3,2.31169,1.37323,1.76789,0.7824,0.36321,0.57266,0.25973,2.28379,1.81677,2.12615,0.0011288,0.0011288,0.0011288
24,6096.55,2.3132,1.34216,1.75004,0.6275,0.47764,0.5709,0.24513,2.33921,1.77148,2.15074,0.0010892,0.0010892,0.0010892
25,6347.53,2.29647,1.3713,1.77058,0.79466,0.35081,0.57512,0.26675,2.2871,1.87665,2.11472,0.0010496,0.0010496,0.0010496
26,6603.87,2.2858,1.33949,1.74072,0.79742,0.36484,0.57881,0.272,2.22012,1.76285,2.05847,0.00101,0.00101,0.00101
27,6859.47,2.2506,1.28357,1.72667,0.75438,0.44634,0.60328,0.27985,2.24316,1.83707,2.08558,0.0009704,0.0009704,0.0009704
28,7113.31,2.24877,1.33856,1.73877,0.814,0.34512,0.57957,0.27141,2.25112,1.71915,2.08683,0.0009308,0.0009308,0.0009308
29,7368.53,2.26297,1.31763,1.72619,0.67481,0.48293,0.58738,0.25694,2.27445,1.71614,2.07929,0.0008912,0.0008912,0.0008912
30,7622.16,2.23599,1.30082,1.71188,0.77077,0.45447,0.61496,0.28833,2.2207,1.7628,2.06094,0.0008516,0.0008516,0.0008516
31,7877.84,2.22618,1.30152,1.7189,0.68293,0.52053,0.60104,0.26053,2.21431,1.7884,2.04182,0.000812,0.000812,0.000812
32,8134.07,2.22977,1.24897,1.6999,0.80098,0.43028,0.61664,0.29295,2.24095,1.74805,2.08137,0.0007724,0.0007724,0.0007724
33,8386.96,2.21095,1.26421,1.71274,0.77835,0.45894,0.62427,0.29509,2.2034,1.60162,2.02147,0.0007328,0.0007328,0.0007328
34,8643.09,2.20225,1.24501,1.67836,0.67035,0.56789,0.64045,0.28961,2.17948,1.62732,2.00781,0.0006932,0.0006932,0.0006932
35,8898.6,2.19395,1.21341,1.6669,0.75066,0.52256,0.64375,0.30086,2.17127,1.67025,2.01992,0.0006536,0.0006536,0.0006536
