epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.539,4.77564,3.50369,4.12741,0.00352,0.02297,0.0035,0.00115,4.4135,3.59941,4.12228,0.00064,0.00064,0.00064
2,316.257,4.02984,2.69326,3.54145,0.00361,0.02358,0.00218,0.00078,4.40218,3.91178,4.2145,0.00127426,0.00127426,0.00127426
3,469.053,3.40018,2.21968,2.82549,0.00866,0.0565,0.0098,0.004,4.11978,3.9387,3.90213,0.00188238,0.00188238,0.00188238
4,631.981,3.17781,2.02765,2.48917,0.28603,0.24614,0.17266,0.05055,3.2684,4.60015,3.06995,0.0018812,0.0018812,0.0018812
5,790.382,2.97659,1.88473,2.30686,0.3305,0.3189,0.22883,0.06931,3.02763,4.92233,2.81037,0.0018416,0.0018416,0.0018416
6,949.236,2.8623,1.85777,2.20901,0.27967,0.26626,0.19142,0.06282,2.87267,9.92717,2.69938,0.001802,0.001802,0.001802
7,1108.68,2.81168,1.76862,2.10876,0.34175,0.33292,0.2315,0.06711,2.90928,4.28924,2.71319,0.0017624,0.0017624,0.0017624
8,1266.4,2.72393,1.73785,2.07606,0.46345,0.4094,0.37459,0.12094,2.61167,2.82884,2.42385,0.0017228,0.0017228,0.0017228
9,1425.51,2.6719,1.64991,2.02722,0.48765,0.37317,0.36588,0.11809,2.67389,3.01116,2.41826,0.0016832,0.0016832,0.0016832
10,1586.1,2.64587,1.60638,1.97782,0.5271,0.40102,0.40165,0.13162,2.5002,2.40747,2.34371,0.0016436,0.0016436,0.0016436
11,1742.94,2.59307,1.60385,1.96689,0.35313,0.29858,0.24609,0.07959,2.76265,2.39677,2.46561,0.001604,0.001604,0.001604
12,1900.76,2.5471,1.56252,1.95706,0.47008,0.35393,0.34243,0.11312,2.59134,2.26616,2.39352,0.0015644,0.0015644,0.0015644
13,2061.76,2.51938,1.49588,1.89538,0.55499,0.43882,0.44922,0.15134,2.47402,2.22144,2.27789,0.0015248,0.0015248,0.0015248
14,2219.99,2.47298,1.48956,1.87948,0.57122,0.42321,0.45222,0.16022,2.42627,2.1627,2.25629,0.0014852,0.0014852,0.0014852
15,2381.25,2.46487,1.47385,1.83673,0.57612,0.46301,0.47654,0.16659,2.4039,2.11814,2.21146,0.0014456,0.0014456,0.0014456
16,2537.37,2.43776,1.44653,1.84186,0.59626,0.46497,0.48876,0.17567,2.38036,2.10659,2.19686,0.001406,0.001406,0.001406
17,2691.65,2.39907,1.43531,1.81821,0.59091,0.49029,0.50793,0.18098,2.35281,2.17324,2.17647,0.0013664,0.0013664,0.0013664
18,2842.68,2.37192,1.41971,1.80841,0.61677,0.47988,0.51836,0.18752,2.36129,2.04293,2.19082,0.0013268,0.0013268,0.0013268
19,2994.3,2.36745,1.41258,1.79325,0.6317,0.49797,0.53227,0.20417,2.30787,2.1469,2.1464,0.0012872,0.0012872,0.0012872
20,3146.86,2.33077,1.39226,1.77143,0.65107,0.47027,0.51169,0.19374,2.31946,2.13279,2.13496,0.0012476,0.0012476,0.0012476
21,3301.91,2.34167,1.39065,1.7846,0.60132,0.4935,0.51063,0.18968,2.32359,2.00134,2.15274,0.001208,0.001208,0.001208
22,3456.26,2.32082,1.34211,1.75043,0.61929,0.51199,0.52764,0.19526,2.31055,1.86376,2.13139,0.0011684,0.0011684,0.0011684
23,3613.78,2.31169,1.37323,1.76789,0.62427,0.50955,0.53342,0.19739,2.28379,1.81677,2.12615,0.0011288,0.0011288,0.0011288
24,3767.75,2.3132,1.34216,1.75004,0.63348,0.47439,0.5176,0.19468,2.33921,1.77148,2.15074,0.0010892,0.0010892,0.0010892
25,3919.99,2.29647,1.3713,1.77058,0.64077,0.47947,0.53343,0.20519,2.2871,1.87665,2.11472,0.0010496,0.0010496,0.0010496
26,4071.66,2.2858,1.33949,1.74072,0.63583,0.49959,0.53391,0.20568,2.22012,1.76285,2.05847,0.00101,0.00101,0.00101
27,4225.51,2.2506,1.28357,1.72667,0.66909,0.50772,0.55095,0.21676,2.24316,1.83707,2.08558,0.0009704,0.0009704,0.0009704
28,4375.5,2.24877,1.33856,1.73877,0.63549,0.49654,0.53726,0.2047,2.25112,1.71915,2.08683,0.0009308,0.0009308,0.0009308
29,4532.14,2.26297,1.31763,1.72619,0.64184,0.50142,0.53492,0.20404,2.27445,1.71614,2.07929,0.0008912,0.0008912,0.0008912
30,4681.69,2.23599,1.30082,1.71188,0.66995,0.54046,0.58346,0.2328,2.2207,1.7628,2.06094,0.0008516,0.0008516,0.0008516
31,4836.9,2.22618,1.30152,1.7189,0.64207,0.5604,0.56506,0.21249,2.21431,1.7884,2.04182,0.000812,0.000812,0.000812
32,4990.07,2.22977,1.24897,1.6999,0.67718,0.5376,0.58353,0.233,2.24095,1.74805,2.08137,0.0007724,0.0007724,0.0007724
33,5139.91,2.21095,1.26421,1.71274,0.6782,0.5315,0.58676,0.23754,2.2034,1.60162,2.02147,0.0007328,0.0007328,0.0007328
34,5291.57,2.20225,1.24501,1.67836,0.69859,0.55183,0.60288,0.24225,2.17948,1.62732,2.00781,0.0006932,0.0006932,0.0006932
35,5446.19,2.19395,1.21341,1.6669,0.70375,0.55142,0.60578,0.24663,2.17127,1.67025,2.01992,0.0006536,0.0006536,0.0006536
36,5597.61,2.18486,1.238,1.66805,0.69824,0.56402,0.61355,0.24678,2.14377,1.56468,1.97561,0.000614,0.000614,0.000614
37,5746.52,2.16293,1.23323,1.68599,0.69042,0.54695,0.60025,0.24529,2.19427,1.65447,2.03806,0.0005744,0.0005744,0.0005744
38,5898.53,2.16917,1.21794,1.65518,0.68519,0.57111,0.60752,0.24592,2.13004,1.61145,1.99758,0.0005348,0.0005348,0.0005348
39,6053.25,2.18215,1.2086,1.65619,0.6946,0.55843,0.60835,0.24947,2.13677,1.55522,1.98023,0.0004952,0.0004952,0.0004952
40,6203.2,2.16533,1.21493,1.66137,0.69148,0.54666,0.60065,0.24642,2.12901,1.58904,1.97326,0.0004556,0.0004556,0.0004556
41,6344.21,2.1281,1.25932,1.72085,0.69617,0.55955,0.6025,0.24278,2.16623,1.65003,2.00906,0.000416,0.000416,0.000416
42,6483.11,2.11387,1.21732,1.71755,0.69264,0.54634,0.59697,0.24626,2.15375,1.60832,2.0183,0.0003764,0.0003764,0.0003764
43,6621.55,2.08035,1.18945,1.69775,0.70008,0.55041,0.60722,0.24855,2.15471,1.50318,1.99126,0.0003368,0.0003368,0.0003368
44,6761.55,2.07534,1.19507,1.69678,0.70761,0.56664,0.61785,0.25156,2.12411,1.53795,1.97206,0.0002972,0.0002972,0.0002972
45,6901.68,2.07081,1.17681,1.68918,0.70124,0.58293,0.62537,0.25708,2.10079,1.54869,1.9675,0.0002576,0.0002576,0.0002576
46,7040.26,2.04767,1.20488,1.71689,0.70065,0.56037,0.61107,0.25172,2.11522,1.51916,1.96492,0.000218,0.000218,0.000218
47,7179.69,2.04848,1.17186,1.69896,0.68833,0.57681,0.61732,0.25298,2.11899,1.52162,1.96736,0.0001784,0.0001784,0.0001784
48,7319.69,2.05857,1.1758,1.69839,0.71274,0.5813,0.62987,0.26266,2.07524,1.50382,1.93852,0.0001388,0.0001388,0.0001388
49,7458.32,2.04532,1.16074,1.69224,0.71683,0.58333,0.63107,0.26115,2.07653,1.5234,1.94267,9.92e-05,9.92e-05,9.92e-05
50,7593.99,2.04565,1.15424,1.68037,0.70917,0.56911,0.62032,0.25939,2.09881,1.49857,1.94672,5.96e-05,5.96e-05,5.96e-05
