epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.236,4.8504,3.49326,4.10507,0,0,0,0,4.45369,3.57166,4.10792,0.000647059,0.000647059,0.000647059
2,314.526,4.09925,2.6354,3.50839,0,0,0,0,4.43549,3.6547,4.11639,0.00130072,0.00130072,0.00130072
3,465.937,3.45864,2.18697,2.8035,0,0,0,0,4.28129,4.97325,4.08567,0.00194118,0.00194118,0.00194118
4,617.702,3.25249,2.04873,2.52258,0.19022,0.19163,0.11719,0.03466,3.28627,7.04622,3.17091,0.0019406,0.0019406,0.0019406
5,771.353,3.02268,1.88009,2.31079,0.33931,0.32168,0.26973,0.0854,2.87766,7.67525,2.68764,0.0019208,0.0019208,0.0019208
6,924.847,2.93069,1.85551,2.20775,0.28129,0.32124,0.20974,0.07148,3.01053,3.82285,2.80565,0.001901,0.001901,0.001901
7,1077.85,2.83791,1.78089,2.13801,0.4193,0.36965,0.35457,0.11988,2.75977,5.34777,2.52531,0.0018812,0.0018812,0.0018812
8,1226.03,2.79953,1.76098,2.11552,0.58814,0.26625,0.41157,0.15014,2.56332,2.9738,2.38532,0.0018614,0.0018614,0.0018614
9,1377.37,2.76781,1.71623,2.02622,0.81728,0.09109,0.45203,0.18623,2.72137,2.20867,2.45293,0.0018416,0.0018416,0.0018416
10,1526.26,2.65775,1.61933,1.9926,0.73288,0.21996,0.46766,0.1929,2.51456,2.25222,2.3535,0.0018218,0.0018218,0.0018218
11,1677.56,2.63054,1.63074,1.94464,0.50407,0.39011,0.44667,0.16977,2.49492,2.80927,2.27903,0.001802,0.001802,0.001802
12,1827.8,2.63309,1.58499,1.91627,0.57366,0.42177,0.50016,0.19942,2.42903,2.31266,2.21791,0.0017822,0.0017822,0.0017822
13,1981.83,2.5556,1.52628,1.88103,0.42559,0.34679,0.37322,0.14269,2.4989,2.09112,2.29825,0.0017624,0.0017624,0.0017624
14,2130.51,2.52323,1.56126,1.90534,0.701,0.32512,0.50149,0.20697,2.41326,2.11578,2.21836,0.0017426,0.0017426,0.0017426
15,2282.49,2.50919,1.5627,1.90562,0.44282,0.45306,0.43631,0.16568,2.4127,1.99337,2.19723,0.0017228,0.0017228,0.0017228
16,2435.6,2.45583,1.44906,1.81544,0.69746,0.41103,0.55548,0.2369,2.34949,1.81686,2.15388,0.001703,0.001703,0.001703
17,2588.02,2.44661,1.42426,1.80799,0.64055,0.26791,0.43505,0.17621,2.3892,1.80791,2.18561,0.0016832,0.0016832,0.0016832
18,2745.2,2.44232,1.46187,1.80052,0.54925,0.4501,0.50777,0.20922,2.34974,1.92743,2.16515,0.0016634,0.0016634,0.0016634
19,2911.07,2.39197,1.40069,1.77992,0.77304,0.39289,0.5797,0.25385,2.30113,1.85625,2.09048,0.0016436,0.0016436,0.0016436
20,3066.65,2.39245,1.41263,1.78915,0.84008,0.23051,0.52907,0.2581,2.27686,1.75682,2.08459,0.0016238,0.0016238,0.0016238
21,3222.6,2.35741,1.35079,1.72823,0.64949,0.45732,0.55973,0.23517,2.29682,1.87119,2.09383,0.001604,0.001604,0.001604
22,3376.52,2.38197,1.38127,1.73166,0.53403,0.46491,0.5015,0.19863,2.37236,2.18593,2.13413,0.0015842,0.0015842,0.0015842
23,3527.2,2.34907,1.36931,1.75346,0.72059,0.32327,0.51952,0.22725,2.29775,1.70028,2.0903,0.0015644,0.0015644,0.0015644
24,3680.32,2.37439,1.33969,1.7522,0.58809,0.44436,0.51955,0.21717,2.30961,1.68533,2.06896,0.0015446,0.0015446,0.0015446
